product_id,product_name,category,category_broad,details,price,offer,status
P1000,Casual Shoes 1,Casual Shoes,footwear,Canvas sneakers perfect for casual outings,2293,Flat 50% Off,offer/sale/discount
P1001,T-Shirts 2,Tshirts,clothing,Durable polyester blend for active lifestyles,3485,No discount,fresh_arrivals
P1002,Jackets 3,Jackets,clothing,Genuine leather jacket with a rugged look,3420,No discount,Limited Edition
P1003,Boxers 4,Boxers,clothing,Blended material boxers with a snug fit,2404,No discount,fresh_arrivals
P1004,T-Shirts 5,Tshirts,clothing,Casual and comfortable blended material,1572,No discount,fresh_arrivals
P1005,Sunglasses 6,Sunglasses,accessories,Polarized sunglasses for clear vision,4264,No discount,fresh_arrivals
P1006,Shirts 7,Shirts,clothing,Made with premium linen for a luxurious feel,3831,No discount,fresh_arrivals
P1007,Belts 8,Belts,accessories,Elegant leather belt for formal wear,4732,20% Off,offer/sale/discount
P1008,T-Shirts 9,Tshirts,clothing,Durable polyester blend for active lifestyles,965,No discount,Limited Edition
P1009,Casual Shoes 10,Casual Shoes,footwear,Comfortable leather loafers for everyday use,1937,Clearance Sale,offer/sale/discount
P1010,Shorts 11,Shorts,clothing,Lightweight cotton shorts for hot days,1046,No discount,fresh_arrivals
P1011,Watches 12,Watches,accessories,Classic analog watch with a leather strap,2315,No discount,fresh_arrivals
P1012,Jeans 13,Jeans,clothing,Classic denim with a modern twist,3289,No discount,fresh_arrivals
P1013,Jackets 14,Jackets,clothing,Genuine leather jacket with a rugged look,842,Clearance Sale,offer/sale/discount
P1014,Watches 15,Watches,accessories,Modern digital watch with various features,4571,No discount,fresh_arrivals
P1015,Casual Shoes 16,Casual Shoes,footwear,Comfortable leather loafers for everyday use,2016,No discount,fresh_arrivals
P1016,Ethnic Wear 17,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,4718,No discount,fresh_arrivals
P1017,Shirts 18,Shirts,clothing,Elegant silk design perfect for formal occasions,733,No discount,fresh_arrivals
P1018,Shorts 19,Shorts,clothing,Quick-drying polyester shorts for active wear,1233,No discount,Limited Edition
P1019,Hoodies 20,Hoodies,clothing,Cozy fleece interior for extra warmth,692,No discount,fresh_arrivals
P1020,Jackets 21,Jackets,clothing,Trendy denim jacket for casual outings,4144,No discount,Limited Edition
P1021,Watches 22,Watches,accessories,Classic analog watch with a leather strap,3989,Flat 50% Off,offer/sale/discount
P1022,Jackets 23,Jackets,clothing,Genuine leather jacket with a rugged look,2525,No discount,fresh_arrivals
P1023,Hoodies 24,Hoodies,clothing,Stylish cotton hoodie with a relaxed fit,1746,No discount,fresh_arrivals
P1024,Shorts 25,Shorts,clothing,Lightweight cotton shorts for hot days,3622,Clearance Sale,offer/sale/discount
P1025,Sandals 26,Sandals,footwear,Stylish leather sandals for summer,1379,20% Off,offer/sale/discount
P1026,Belts 27,Belts,accessories,Elegant leather belt for formal wear,3182,No discount,fresh_arrivals
P1027,Watches 28,Watches,accessories,Modern digital watch with various features,4912,No discount,fresh_arrivals
P1028,Shirts 29,Shirts,clothing,Made with premium linen for a luxurious feel,2002,No discount,fresh_arrivals
P1029,Watches 30,Watches,accessories,Modern digital watch with various features,1310,No discount,fresh_arrivals
P1030,Watches 31,Watches,accessories,Modern digital watch with various features,1175,No discount,Limited Edition
P1031,Formal Shoes 32,Formal Shoes,footwear,Polished leather shoes for formal events,1335,No discount,fresh_arrivals
P1032,Jeans 33,Jeans,clothing,Stretch denim for added comfort and flexibility,2001,Buy 1 Get 1,offer/sale/discount
P1033,Formal Shoes 34,Formal Shoes,footwear,Durable synthetic material with a sleek finish,4781,No discount,fresh_arrivals
P1034,Boxers 35,Boxers,clothing,Soft cotton boxers for all-day comfort,2845,No discount,fresh_arrivals
P1035,Sweaters 36,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,3402,No discount,fresh_arrivals
P1036,Sandals 37,Sandals,footwear,Stylish leather sandals for summer,1732,No discount,Limited Edition
P1037,Sunglasses 38,Sunglasses,accessories,Polarized sunglasses for clear vision,1654,No discount,fresh_arrivals
P1038,Hoodies 39,Hoodies,clothing,Stylish cotton hoodie with a relaxed fit,2859,No discount,Limited Edition
P1039,Jackets 40,Jackets,clothing,Genuine leather jacket with a rugged look,1628,No discount,fresh_arrivals
P1040,Shirts 41,Shirts,clothing,Crafted from soft cotton for ultimate comfort,4951,No discount,fresh_arrivals
P1041,Sunglasses 42,Sunglasses,accessories,UV protection sunglasses for sunny days,3524,No discount,fresh_arrivals
P1042,Sunglasses 43,Sunglasses,accessories,Polarized sunglasses for clear vision,2032,No discount,fresh_arrivals
P1043,T-Shirts 44,Tshirts,clothing,Casual and comfortable blended material,2030,No discount,fresh_arrivals
P1044,Shirts 45,Shirts,clothing,Elegant silk design perfect for formal occasions,785,No discount,fresh_arrivals
P1045,Shirts 46,Shirts,clothing,Crafted from soft cotton for ultimate comfort,1699,No discount,fresh_arrivals
P1046,Jeans 47,Jeans,clothing,Stretch denim for added comfort and flexibility,2809,No discount,fresh_arrivals
P1047,Boxers 48,Boxers,clothing,Soft cotton boxers for all-day comfort,3795,No discount,fresh_arrivals
P1048,Boxers 49,Boxers,clothing,Blended material boxers with a snug fit,3159,No discount,Limited Edition
P1049,Sandals 50,Sandals,footwear,Stylish leather sandals for summer,3663,Buy 1 Get 1,offer/sale/discount
P1050,Shirts 51,Shirts,clothing,Elegant silk design perfect for formal occasions,2106,No discount,fresh_arrivals
P1051,Sandals 52,Sandals,footwear,Comfortable synthetic sandals for casual wear,1821,Flat 50% Off,offer/sale/discount
P1052,Sunglasses 53,Sunglasses,accessories,UV protection sunglasses for sunny days,2578,No discount,fresh_arrivals
P1053,Shirts 54,Shirts,clothing,Elegant silk design perfect for formal occasions,1331,20% Off,offer/sale/discount
P1054,T-Shirts 55,Tshirts,clothing,Casual and comfortable blended material,3831,Buy 1 Get 1,offer/sale/discount
P1055,Jeans 56,Jeans,clothing,Classic denim with a modern twist,3135,Flat 50% Off,offer/sale/discount
P1056,Watches 57,Watches,accessories,Classic analog watch with a leather strap,3586,Flat 50% Off,offer/sale/discount
P1057,Shirts 58,Shirts,clothing,Made with premium linen for a luxurious feel,4917,No discount,Limited Edition
P1058,Sandals 59,Sandals,footwear,Stylish leather sandals for summer,2397,Clearance Sale,offer/sale/discount
P1059,Shorts 60,Shorts,clothing,Lightweight cotton shorts for hot days,963,No discount,fresh_arrivals
P1060,Jeans 61,Jeans,clothing,Stretch denim for added comfort and flexibility,978,Buy 1 Get 1,offer/sale/discount
P1061,Formal Shoes 62,Formal Shoes,footwear,Durable synthetic material with a sleek finish,4029,20% Off,offer/sale/discount
P1062,Jackets 63,Jackets,clothing,Trendy denim jacket for casual outings,1772,Buy 1 Get 1,offer/sale/discount
P1063,Casual Shoes 64,Casual Shoes,footwear,Canvas sneakers perfect for casual outings,2156,No discount,fresh_arrivals
P1064,Ethnic Wear 65,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,4022,No discount,fresh_arrivals
P1065,Shirts 66,Shirts,clothing,Elegant silk design perfect for formal occasions,778,No discount,fresh_arrivals
P1066,Watches 67,Watches,accessories,Modern digital watch with various features,3998,Clearance Sale,offer/sale/discount
P1067,T-Shirts 68,Tshirts,clothing,Durable polyester blend for active lifestyles,1693,20% Off,offer/sale/discount
P1068,Watches 69,Watches,accessories,Modern digital watch with various features,2396,No discount,fresh_arrivals
P1069,Watches 70,Watches,accessories,Classic analog watch with a leather strap,1926,Clearance Sale,offer/sale/discount
P1070,Shirts 71,Shirts,clothing,Elegant silk design perfect for formal occasions,2394,No discount,Limited Edition
P1071,Jackets 72,Jackets,clothing,Trendy denim jacket for casual outings,2832,No discount,fresh_arrivals
P1072,Jeans 73,Jeans,clothing,Stretch denim for added comfort and flexibility,1549,No discount,fresh_arrivals
P1073,T-Shirts 74,Tshirts,clothing,Durable polyester blend for active lifestyles,862,No discount,fresh_arrivals
P1074,Shorts 75,Shorts,clothing,Quick-drying polyester shorts for active wear,3024,Flat 50% Off,offer/sale/discount
P1075,Formal Shoes 76,Formal Shoes,footwear,Polished leather shoes for formal events,4607,No discount,fresh_arrivals
P1076,Jackets 77,Jackets,clothing,Genuine leather jacket with a rugged look,3564,Buy 1 Get 1,offer/sale/discount
P1077,Sandals 78,Sandals,footwear,Stylish leather sandals for summer,3905,Buy 1 Get 1,offer/sale/discount
P1078,Sandals 79,Sandals,footwear,Stylish leather sandals for summer,4788,Buy 1 Get 1,offer/sale/discount
P1079,Sunglasses 80,Sunglasses,accessories,UV protection sunglasses for sunny days,3262,Buy 1 Get 1,offer/sale/discount
P1080,Hoodies 81,Hoodies,clothing,Cozy fleece interior for extra warmth,3407,No discount,fresh_arrivals
P1081,Ethnic Wear 82,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,915,No discount,fresh_arrivals
P1082,Sweaters 83,Sweaters,clothing,Warm wool knit for chilly days,1195,No discount,fresh_arrivals
P1083,Ethnic Wear 84,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,3320,Clearance Sale,offer/sale/discount
P1084,Casual Shoes 85,Casual Shoes,footwear,Canvas sneakers perfect for casual outings,4230,No discount,Limited Edition
P1085,Sweaters 86,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,4797,Buy 1 Get 1,offer/sale/discount
P1086,Sweaters 87,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,3651,No discount,fresh_arrivals
P1087,Boxers 88,Boxers,clothing,Soft cotton boxers for all-day comfort,4688,No discount,fresh_arrivals
P1088,Formal Shoes 89,Formal Shoes,footwear,Durable synthetic material with a sleek finish,2545,No discount,Limited Edition
P1089,Shirts 90,Shirts,clothing,Made with premium linen for a luxurious feel,2541,No discount,Limited Edition
P1090,Sandals 91,Sandals,footwear,Comfortable synthetic sandals for casual wear,581,20% Off,offer/sale/discount
P1091,Watches 92,Watches,accessories,Modern digital watch with various features,1025,No discount,fresh_arrivals
P1092,Ethnic Wear 93,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,2775,No discount,Limited Edition
